Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0150       21172.0467   21168.1656       3.8811  1112.1
0.0160       21330.9915   21327.1103       3.8811  1112.1
0.0170       21332.8875   21329.0064       3.8811  1112.1
0.0180       21391.1147   21387.2336       3.8811  1112.1
0.0190       21141.7334   21137.8522       3.8811  1112.1
0.0200       21675.9848   21672.1036       3.8811  1112.1
0.0210       21560.1748   21556.2936       3.8811  1112.1
0.0220       21011.7629   21007.8817       3.8811  1112.1
0.0230       21319.5199   21315.6388       3.8811  1112.1
0.0240       21078.5341   21074.6530       3.8811  1112.1
0.0250       21194.7194   21190.8383       3.8811  1112.1
0.0260       21244.7989   21240.9178       3.8811  1112.1
0.0270       21323.8369   21319.9557       3.8811  1112.1
0.0280       21317.1615   21313.2804       3.8811  1112.1
0.0290       21036.6082   21032.7271       3.8811  1112.1
0.0300       20674.7687   20670.8876       3.8811  1112.1
0.0310       21497.1637   21493.2826       3.8811  1112.1
0.0320       21338.0844   21334.2033       3.8811  1112.1
0.0330       21552.6179   21548.7368       3.8811  1112.1
0.0340       21710.1469   21706.2658       3.8811  1112.1
0.0350       21712.5919   21708.7108       3.8811  1112.1
0.0360       21288.5009   21284.6198       3.8811  1112.1
0.0370       21362.2829   21358.4018       3.8811  1112.1
0.0380       21471.8067   21467.9256       3.8811  1112.1
0.0390       21714.5741   21710.6930       3.8811  1112.1
0.0400       21704.7268   21700.8457       3.8811  1112.1
0.0410       21584.8731   21580.9920       3.8811  1112.1
0.0420       21611.7778   21607.8967       3.8811  1112.1
0.0430       21304.4826   21300.6014       3.8811  1112.1
0.0440       21140.4772   21136.5960       3.8811  1112.1
0.0450       20897.9051   20894.0240       3.8811  1112.1
0.0460       21427.2597   21423.3786       3.8811  1112.1
0.0470       21710.9576   21707.0765       3.8811  1112.1
0.0480       21273.0288   21269.1477       3.8811  1112.1
0.0490       21324.0577   21320.1765       3.8811  1112.1
0.0500       21487.9359   21484.0548       3.8811  1112.1
0.0510       21658.9259   21655.0448       3.8811  1112.1
0.0520       21228.1980   21224.3169       3.8811  1112.1
0.0530       21586.7506   21582.8695       3.8811  1112.1
0.0540       21378.9295   21375.0484       3.8811  1112.1
0.0550       21564.3804   21560.4993       3.8811  1112.1
0.0560       21607.0000   21603.1189       3.8811  1112.1
0.0570       21440.1309   21436.2498       3.8811  1112.1
Time[ps]      Etot[eV]     Epot[eV]     Ekin[eV]    T[K]
0.0000     21371137365.8274 21371137362.6661       3.1612   905.8
0.0010     21619511658.1131 21619511654.9568       3.1563   904.4
0.0020     21284383152.3631 21284383149.2117       3.1514   903.0
0.0030     21273828893.4441 21273828890.2911       3.1531   903.5
0.0040     21181849904.8293 21181849901.5602       3.2691   936.7
0.0050     21313777695.5158 21313777692.0438       3.4720   994.8
0.0060     20950199757.3344 20950199753.7727       3.5617  1020.5
0.0070     20954449344.5791 20954449340.4958       4.0833  1170.0
0.0080     21054912882.3130 21054912878.3180       3.9950  1144.7
0.0090     20965376451.8886 20965376447.7732       4.1154  1179.2
0.0100     20979298397.5535 20979298393.2454       4.3081  1234.4
0.0110     21149636368.2630 21149636363.4466       4.8164  1380.1
0.0120     21151966431.8941 21151966426.2872       5.6069  1606.6
0.0130     20965372141.3833 20965372135.6117       5.7715  1653.7
